SRR,SampleName
SRR1972856,SRS803805
SRR1735025,SRS803805
SRR1735249,SRS804030
SRR1734994,SRS803774
SRR1972857,SRS908569
SRR1972858,SRS803794
SRR1735014,SRS803794
SRR1734988,SRS803768
SRR1972859,SRS803973
SRR1735192,SRS803973
SRR1735165,SRS803945
SRR1972860,SRS803945
SRR1972861,SRS803975
SRR1735195,SRS803975
SRR1972862,SRS908568
SRR1972863,SRS803833
SRR1735053,SRS803833
SRR1972864,SRS803927
SRR1735146,SRS803927
SRR1972865,SRS908567
SRR1735159,SRS803939
SRR1972866,SRS908566
SRR1972867,SRS908565
SRR1972868,SRS908563
SRR1972869,SRS908564
SRR1972870,SRS908562
SRR1972871,SRS908561
SRR1735174,SRS803954
SRR1735102,SRS803881
SRR1735024,SRS803804
SRR1972872,SRS908560
SRR1735088,SRS803868
SRR1735252,SRS804032
SRR1972873,SRS908559
SRR1972874,SRS908558
SRR1972875,SRS908556
SRR1972876,SRS908555
SRR1972877,SRS908554
SRR1735086,SRS803866
SRR1734997,SRS803777
SRR1972878,SRS908553
SRR1735091,SRS803870
SRR1972879,SRS908552
SRR1972880,SRS908551
SRR1735145,SRS803924
SRR1735163,SRS803942
SRR1972881,SRS908550
SRR1735028,SRS803809
SRR1735039,SRS803818
SRR1972882,SRS803818
SRR1972883,SRS908549
SRR1735187,SRS803967
SRR1735203,SRS803983
SRR1972884,SRS908548
SRR1735126,SRS803904
SRR1972885,SRS908547
SRR1972886,SRS803907
SRR1735127,SRS803907
SRR1972887,SRS908546
SRR1735008,SRS803788
SRR1972888,SRS908544
SRR1972889,SRS908545
SRR1735168,SRS803948
SRR1735211,SRS803993
SRR1972890,SRS908543
SRR1735138,SRS803918
SRR1972891,SRS908542
SRR1735018,SRS803798
SRR1972892,SRS908541
SRR1735153,SRS803933
SRR1972893,SRS908540
SRR1972894,SRS908539
SRR1735196,SRS803976
SRR1972895,SRS908537
SRR1972896,SRS804019
SRR1735239,SRS804019
SRR1735083,SRS803863
SRR1972897,SRS908538
SRR1972898,SRS908536
SRR1735055,SRS803835
SRR1972899,SRS908535
SRR1735117,SRS803897
SRR1735166,SRS803947
SRR1735082,SRS803860
SRR1735248,SRS804028
SRR1735071,SRS803851
SRR1972900,SRS803851
SRR1735167,SRS803946
SRR1735107,SRS803886
SRR1972901,SRS803886
SRR1972902,SRS908534
SRR1735225,SRS804005
SRR1735199,SRS803980
SRR1972903,SRS908533
SRR1972904,SRS908532
SRR1972905,SRS908531
SRR1972906,SRS908530
SRR1735265,SRS804044
SRR1972907,SRS908529
SRR1972908,SRS908528
SRR1972909,SRS908527
SRR1735095,SRS803874
SRR1972910,SRS908526
SRR1972911,SRS908525
SRR1972912,SRS908524
SRR1972913,SRS908523
SRR1972914,SRS908522
SRR1972915,SRS908521
SRR1972916,SRS908520
SRR1972917,SRS908519
SRR1972918,SRS908518
SRR1972919,SRS908517
SRR1735084,SRS803865
SRR1735034,SRS803814
SRR1972920,SRS908516
SRR1735158,SRS803938
SRR1972921,SRS908515
SRR1972922,SRS908514
SRR1972923,SRS908513
SRR1972924,SRS908512
SRR1972925,SRS908511
SRR1972926,SRS908510
SRR1735101,SRS803880
SRR1972927,SRS908509
SRR1735006,SRS803786
SRR1972928,SRS908508
SRR1972929,SRS908507
SRR1972930,SRS908506
SRR1972931,SRS908505
SRR1972932,SRS908504
SRR1972933,SRS908503
SRR1972934,SRS908502
SRR1972935,SRS908501
SRR1972936,SRS908500
SRR1972937,SRS908499
SRR1972938,SRS908498
SRR1972939,SRS908497
SRR1972940,SRS908496
SRR1972941,SRS908495
SRR1972942,SRS908494
SRR1972943,SRS803840
SRR1735059,SRS803840
SRR1735233,SRS804013
SRR1972944,SRS908493
SRR1972945,SRS908492
SRR1972946,SRS908491
SRR1972947,SRS908490
SRR1735151,SRS803931
SRR1972948,SRS803773
SRR1734993,SRS803773
SRR1735057,SRS803837
SRR1735235,SRS804015
SRR1735178,SRS803958
SRR1735072,SRS803853
SRR1972949,SRS803853
SRR1735264,SRS804045
SRR1735193,SRS803974
SRR1972950,SRS908489
SRR1972951,SRS908488
